Name,Units,Short,Long
Load1ExpSh,kVAh,Load1 Export Apparent Power Hours,
Load1I2,A,Load1 Phase 2 Current,
Load1I3,A,Load1 Phase 3 Current,
Load1ImpE,kWh,Load1 Import Energy,
Load1ImpP,kW,Load1 Import Active Power,
Load1ImpQh,kvarh,Load1 Import Reactive Power Hours,
Load1ImpS,kVA,Load1 Import Apparent Power,
Load1ImpSh,kVAh,Load1 Import Apparent Power Hours,
Load1P,kW,Load1 Active Power,
Load1Pf,pf,Load1 Power Factor,
Load1Qh,kvarh,Load1 Reactive Power Hours,
Load1S,kVA,Load1 Apparent Power,
Load1Sh,kVAh,Load1 Apparent Power Hours,
Load1U,V,Load1 Average Phase to Phase Voltage,
Load1U12,V,Load1 Phase 1 to 2 Voltage,
Load1U1n,V,Load1 Phase 1 to N Voltage,
Load1U23,V,Load1 Phase 2 to 3 Voltage,
Load1U2n,V,Load1 Phase 2 to N Voltage,
Load1U31,V,Load1 Phase 3 to 1 Voltage,
Load1U3n,V,Load1 Phase 3 to N Voltage,
Load1Un,V,Load1 Average Phase to Neutral Voltage,
Load2E,kWh,Load2 Energy,
Load2ExpE,kWh,Load2 Export Energy,
Load2ExpP,kW,Load2 Export Active Power,
Load2ExpQh,kvarh,Load2 Export Reactive Power Hours,
Load2ExpS,kVA,Load2 Export Apparent Power,
Load2ExpSh,kVAh,Load2 Export Apparent Power Hours,
Load2I2,A,Load2 Phase 2 Current,
Load2I3,A,Load2 Phase 3 Current,
Load2ImpE,kWh,Load2 Import Energy,
Load2ImpP,kW,Load2 Import Active Power,
Load2ImpQh,kvarh,Load2 Import Reactive Power Hours,
Load2ImpS,kVA,Load2 Import Apparent Power,
Load2ImpSh,kVAh,Load2 Import Apparent Power Hours,
Load2P,kW,Load2 Active Power,
Load2Pf,pf,Load2 Power Factor,
Load2Qh,kvarh,Load2 Reactive Power Hours,
Load2S,kVA,Load2 Apparent Power,
Load2Sh,kVAh,Load2 Apparent Power Hours,
Load2U,V,Load2 Average Phase to Phase Voltage,
Load2U12,V,Load2 Phase 1 to 2 Voltage,
Load2U1n,V,Load2 Phase 1 to N Voltage,
Load2U23,V,Load2 Phase 2 to 3 Voltage,
Load2U2n,V,Load2 Phase 2 to N Voltage,
Load2U31,V,Load2 Phase 3 to 1 Voltage,
Load2U3n,V,Load2 Phase 3 to N Voltage,
Load2Un,V,Load2 Average Phase to Neutral Voltage,
LoadE,kWh,Load Energy,
LoadExpE,kWh,Load Export Energy,
LoadExpP,kW,Load Export Active Power,
LoadExpQh,kvarh,Load Export Reactive Power Hours,
LoadExpS,kVA,Load Export Apparent Power,
LoadExpSh,kVAh,Load Export Apparent Power Hours,
LoadI2,A,Load Phase 2 Current,
LoadI3,A,Load Phase 3 Current,
LoadImpE,kWh,Load Import Energy,
LoadImpP,kW,Load Import Active Power,
LoadImpQh,kvarh,Load Import Reactive Power Hours,
LoadImpS,kVA,Load Import Apparent Power,
LoadImpSh,kVAh,Load Import Apparent Power Hours,
LoadP,kW,Load Active Power,
LoadPf,pf,Load Power Factor,
LoadQh,kvarh,Load Reactive Power Hours,
LoadS,kVA,Load Apparent Power,
LoadSh,kVAh,Load Apparent Power Hours,
LoadU,V,Load Average Phase to Phase Voltage,
LoadU12,V,Load Phase 1 to 2 Voltage,
LoadU1n,V,Load Phase 1 to N Voltage,
LoadU23,V,Load Phase 2 to 3 Voltage,
LoadU2n,V,Load Phase 2 to N Voltage,
LoadU31,V,Load Phase 3 to 1 Voltage,
LoadU3n,V,Load Phase 3 to N Voltage,
LoadUn,V,Load Average Phase to Neutral Voltage,
Pcc1E,kWh,Pcc1 Energy,
Pcc1ExpE,kWh,Pcc1 Export Energy,
Pcc1ExpP,kW,Pcc1 Export Active Power,
Pcc1ExpQh,kvarh,Pcc1 Export Reactive Power Hours,
Pcc1ExpS,kVA,Pcc1 Export Apparent Power,
Pcc1ExpSh,kVAh,Pcc1 Export Apparent Power Hours,
Pcc1I2,A,Pcc1 Phase 2 Current,
Pcc1I3,A,Pcc1 Phase 3 Current,
Pcc1ImpE,kWh,Pcc1 Import Energy,
Pcc1ImpP,kW,Pcc1 Import Active Power,
Pcc1ImpQh,kvarh,Pcc1 Import Reactive Power Hours,
Pcc1ImpS,kVA,Pcc1 Import Apparent Power,
Pcc1ImpSh,kVAh,Pcc1 Import Apparent Power Hours,
Pcc1P,kW,Pcc1 Active Power,
Pcc1Pf,pf,Pcc1 Power Factor,
Pcc1Qh,kvarh,Pcc1 Reactive Power Hours,
Pcc1S,kVA,Pcc1 Apparent Power,
Pcc1Sh,kVAh,Pcc1 Apparent Power Hours,
Pcc1U,V,Pcc1 Average Phase to Phase Voltage,
Pcc1U12,V,Pcc1 Phase 1 to 2 Voltage,
Pcc1U1n,V,Pcc1 Phase 1 to N Voltage,
Pcc1U23,V,Pcc1 Phase 2 to 3 Voltage,
Pcc1U2n,V,Pcc1 Phase 2 to N Voltage,
Pcc1U31,V,Pcc1 Phase 3 to 1 Voltage,
Pcc1U3n,V,Pcc1 Phase 3 to N Voltage,
Pcc1Un,V,Pcc1 Average Phase to Neutral Voltage,
Pcc2E,kWh,Pcc2 Energy,
Pcc2ExpE,kWh,Pcc2 Export Energy,
Pcc2ExpP,kW,Pcc2 Export Active Power,
Pcc2ExpQh,kvarh,Pcc2 Export Reactive Power Hours,
Pcc2ExpS,kVA,Pcc2 Export Apparent Power,
Pcc2ExpSh,kVAh,Pcc2 Export Apparent Power Hours,
Pcc2I2,A,Pcc2 Phase 2 Current,
Pcc2I3,A,Pcc2 Phase 3 Current,
Pcc2ImpE,kWh,Pcc2 Import Energy,
Pcc2ImpP,kW,Pcc2 Import Active Power,
Pcc2ImpQh,kvarh,Pcc2 Import Reactive Power Hours,
Pcc2ImpS,kVA,Pcc2 Import Apparent Power,
Pcc2ImpSh,kVAh,Pcc2 Import Apparent Power Hours,
Pcc2P,kW,Pcc2 Active Power,
Pcc2Pf,pf,Pcc2 Power Factor,
Pcc2Qh,kvarh,Pcc2 Reactive Power Hours,
Pcc2S,kVA,Pcc2 Apparent Power,
Pcc2Sh,kVAh,Pcc2 Apparent Power Hours,
Pcc2U,V,Pcc2 Average Phase to Phase Voltage,
Pcc2U12,V,Pcc2 Phase 1 to 2 Voltage,
Pcc2U1n,V,Pcc2 Phase 1 to N Voltage,
Pcc2U23,V,Pcc2 Phase 2 to 3 Voltage,
Pcc2U2n,V,Pcc2 Phase 2 to N Voltage,
Pcc2U31,V,Pcc2 Phase 3 to 1 Voltage,
Pcc2U3n,V,Pcc2 Phase 3 to N Voltage,
